entrada,salida,metodo,tiempo
instancias/instancia_prendido/prendido_40.in,resultados/instancia_prendido/prendido_40.out,0,13218.4
instancias/instancia_prendido/prendido_5.in,resultados/instancia_prendido/prendido_5.out,0,1643.49
instancias/instancia_prendido/prendido_50.in,resultados/instancia_prendido/prendido_50.out,0,16942.1
instancias/instancia_prendido/prendido_30.in,resultados/instancia_prendido/prendido_30.out,0,10413.6
instancias/instancia_prendido/prendido_35.in,resultados/instancia_prendido/prendido_35.out,0,11805.9
instancias/instancia_prendido/prendido_20.in,resultados/instancia_prendido/prendido_20.out,0,6916.05
instancias/instancia_prendido/prendido_25.in,resultados/instancia_prendido/prendido_25.out,0,8255.05
instancias/instancia_prendido/prendido_45.in,resultados/instancia_prendido/prendido_45.out,0,15465.8
instancias/instancia_prendido/prendido_15.in,resultados/instancia_prendido/prendido_15.out,0,5149.64
instancias/instancia_prendido/prendido_10.in,resultados/instancia_prendido/prendido_10.out,0,3395.92
instancias/instancia_prendido/prendido_40.in,resultados/instancia_prendido/prendido_40.out,1,390.247
instancias/instancia_prendido/prendido_5.in,resultados/instancia_prendido/prendido_5.out,1,345.834
instancias/instancia_prendido/prendido_50.in,resultados/instancia_prendido/prendido_50.out,1,405.303
instancias/instancia_prendido/prendido_30.in,resultados/instancia_prendido/prendido_30.out,1,377.27
instancias/instancia_prendido/prendido_35.in,resultados/instancia_prendido/prendido_35.out,1,393.798
instancias/instancia_prendido/prendido_20.in,resultados/instancia_prendido/prendido_20.out,1,372.49
instancias/instancia_prendido/prendido_25.in,resultados/instancia_prendido/prendido_25.out,1,348.838
instancias/instancia_prendido/prendido_45.in,resultados/instancia_prendido/prendido_45.out,1,389.522
instancias/instancia_prendido/prendido_15.in,resultados/instancia_prendido/prendido_15.out,1,374.109
instancias/instancia_prendido/prendido_10.in,resultados/instancia_prendido/prendido_10.out,1,344.591
entrada,salida,metodo,tiempo
instancias/instancia_prendido/prendido_40.in,resultados/instancia_prendido/prendido_40.out,0,13507.9
instancias/instancia_prendido/prendido_5.in,resultados/instancia_prendido/prendido_5.out,0,1655.71
instancias/instancia_prendido/prendido_50.in,resultados/instancia_prendido/prendido_50.out,0,17543.1
instancias/instancia_prendido/prendido_30.in,resultados/instancia_prendido/prendido_30.out,0,9919.35
instancias/instancia_prendido/prendido_35.in,resultados/instancia_prendido/prendido_35.out,0,11464.1
instancias/instancia_prendido/prendido_20.in,resultados/instancia_prendido/prendido_20.out,0,6642.97
instancias/instancia_prendido/prendido_25.in,resultados/instancia_prendido/prendido_25.out,0,8464.24
instancias/instancia_prendido/prendido_45.in,resultados/instancia_prendido/prendido_45.out,0,14795.5
instancias/instancia_prendido/prendido_15.in,resultados/instancia_prendido/prendido_15.out,0,5028.8
instancias/instancia_prendido/prendido_10.in,resultados/instancia_prendido/prendido_10.out,0,3438.88
entrada,salida,metodo,tiempo
instancias/instancia_prendido/prendido_40.in,resultados/instancia_prendido/prendido_40_LU.out,1,498.245
instancias/instancia_prendido/prendido_5.in,resultados/instancia_prendido/prendido_5_LU.out,1,329.73
instancias/instancia_prendido/prendido_50.in,resultados/instancia_prendido/prendido_50_LU.out,1,390.912
instancias/instancia_prendido/prendido_30.in,resultados/instancia_prendido/prendido_30_LU.out,1,364.049
instancias/instancia_prendido/prendido_35.in,resultados/instancia_prendido/prendido_35_LU.out,1,369.956
instancias/instancia_prendido/prendido_20.in,resultados/instancia_prendido/prendido_20_LU.out,1,361.18
instancias/instancia_prendido/prendido_25.in,resultados/instancia_prendido/prendido_25_LU.out,1,357.774
instancias/instancia_prendido/prendido_45.in,resultados/instancia_prendido/prendido_45_LU.out,1,386.579
instancias/instancia_prendido/prendido_15.in,resultados/instancia_prendido/prendido_15_LU.out,1,341.262
instancias/instancia_prendido/prendido_10.in,resultados/instancia_prendido/prendido_10_LU.out,1,337.487
entrada,salida,metodo,tiempo
instancias/instancia_prendido/prendido_40.in,resultados/instancia_prendido/prendido_40_LU.out,1,385.902
